Country,Dish,Description,Recipe,Latitude,Longitude
Bahamas,Cracked Conch,"A rich and creamy conch chowder, flavored with coconut milk and spices","Ingredients: 4 conch fillets, 1 cup flour, 1 tsp garlic powder, 1 tsp onion powder, 1 tsp paprika, salt, pepper, oil for frying
 Instructions: Pound conch fillets thin
 Mix flour with garlic powder, onion powder, paprika, salt, and pepper
 Dredge conch in seasoned flour
 Heat oil in a pan, fry conch until golden brown
 Serve with dipping sauce
",25.03428,-77.39628
Bahrain,Machboos,"A spiced chicken and rice dish, cooked with a blend of fragrant spices","Ingredients: 2 cups basmati rice, 1kg chicken, 2 onions, 2 tomatoes, 4 cloves garlic, 1 tbsp baharat spice mix, 1 tsp turmeric, 1 tsp cumin, 1 tsp cinnamon, 1/2 cup raisins, 1/2 cup slivered almonds, 4 tbsp ghee, salt, pepper
 Instructions: Cook rice and set aside
 Sauté onions and garlic in ghee, add chicken and brown
 Add tomatoes, spices, raisins, and almonds, simmer until chicken is tender
 Layer rice and chicken mixture, bake at 180°C for 30 mins
",26.0667,50.557731
Bangladesh,Fish Curry,"A mixed rice dish with fish, meat, vegetables, eggs, and spices, often served on special occasions","Ingredients: 1kg fish fillets, 2 onions, 2 tomatoes, 4 cloves garlic, 1 tbsp ginger paste, 1 tsp turmeric, 1 tsp cumin, 1 tsp coriander, 1 tsp chili powder, 1 cup coconut milk, 4 tbsp mustard oil, salt, pepper
 Instructions: Sauté onions, garlic, and ginger in mustard oil
 Add tomatoes and spices, cook until tomatoes are soft
 Add fish fillets, cook until fish is done
 Stir in coconut milk, simmer for 10 mins
 Serve with rice
",23.685,90.356331
Barbados,Cou-Cou and Flying Fish,"A cornmeal and okra dish often served with flying fish, and flavored with herbs and spices","Ingredients: 4 flying fish fillets, 1 cup cornmeal, 2 cups okra, 2 onions, 2 cloves garlic, 1 tomato, 1 lime, 1 tbsp butter, salt, pepper
 Instructions: Season fish with lime juice, salt, and pepper
 Sauté onions, garlic, and tomato in butter
 Add fish, cook until done
 Boil okra, add cornmeal gradually, stir until thick
 Serve fish over cou-cou
",13.193887,-59.543198
Belarus,Draniki,"A hearty soup made from beetroot, meat, and vegetables, served hot or cold","Ingredients: 4 potatoes, 1 onion, 1 egg, 2 tbsp flour, salt, pepper, oil for frying
 Instructions: Grate potatoes and onion
 Mix with egg, flour, salt, and pepper
 Heat oil in a pan, drop spoonfuls of the mixture, flatten slightly
 Fry until golden brown on both sides
 Serve hot with sour cream
",53.709807,27.953389
Belgium,Moules-Frites,"A traditional beef and onion stew made with beer, often served with fries","Ingredients: 1kg mussels, 1 onion, 2 cloves garlic, 1 cup white wine, 2 tbsp butter, 2 tbsp parsley, salt, pepper, 4 large potatoes, oil for frying
 Instructions: Sauté onion and garlic in butter
 Add mussels, white wine, salt, and pepper, cook until mussels open
 Sprinkle with parsley
 Cut potatoes into fries, fry in hot oil until golden and crispy
 Serve mussels with fries
",50.503887,4.469936
Belize,Rice and Beans,"A rice and beans dish cooked in coconut milk, served with stew chicken and fried plantains","Ingredients: 2 cups rice, 1 cup red kidney beans, 1 onion, 1 bell pepper, 2 cloves garlic, 1 cup coconut milk, 1 tsp thyme, 1 tsp black pepper, salt, oil
 Instructions: Soak beans overnight
 Cook beans with onion, garlic, bell pepper until tender
 Add rice, coconut milk, thyme, black pepper, and salt
 Simmer until rice is cooked
 Serve with stewed chicken or fish
",17.189877,-88.49765
Benin,Kuli-Kuli,"A slow-cooked peanut stew with chicken, often served with rice or fufu","Ingredients: 500g peanuts, 1 tsp ginger powder, 1 tsp chili powder, salt
 Instructions: Roast peanuts and grind into a paste
 Mix with ginger powder, chili powder, and salt
 Shape into small balls or sticks
 Fry in hot oil until golden brown
 Serve as a snack
",9.30769,2.315834
Bhutan,Ema Datshi,"A spicy stew of chilies and cheese, often served with red rice","Ingredients: 200g green chilies, 200g cheese (feta or farmer's cheese), 1 onion, 2 tomatoes, 2 cloves garlic, 1 tbsp butter, salt
 Instructions: Slice chilies, onion, tomatoes, and garlic
 Sauté onions and garlic in butter
 Add chilies, tomatoes, and cheese, cook until cheese melts
 Season with salt
 Serve with red rice
",27.514162,90.433601
Bolivia,Salteñas,"A savory pastry filled with meat, potatoes, peas, and spices, baked until golden","Ingredients: Dough: 4 cups flour, 1/2 cup sugar, 1/2 cup butter, 1 egg, 1 cup warm water; Filling: 500g beef or chicken, 2 onions, 2 potatoes, 1 cup peas, 1 cup beef broth, 1 tbsp paprika, 1 tbsp cumin, 1 tbsp oregano, salt, pepper, 2 hard-boiled eggs, 1/4 cup olives
 Instructions: Make dough by mixing flour, sugar, butter, egg, and water, let rest
 Cook meat with onions, potatoes, peas, broth, and spices until tender
 Add chopped hard-boiled eggs and olives
 Roll out dough, cut into circles, fill with meat mixture
 Fold and seal edges, bake at 200°C for 25-30 mins until golden
",-16.290154,-63.588653
Bosnia and Herzegovina,Ćevapi,"Grilled minced meat sausages, often served with flatbread and onions","Ingredients: 500g ground beef, 500g ground lamb, 1 onion, 2 cloves garlic, 1 tsp paprika, 1 tsp baking soda, salt, pepper
 Instructions: Mix all ingredients thoroughly, refrigerate for a few hours
 Shape into small sausages
 Grill or fry until cooked through
 Serve with pita bread and onions
",43.915886,17.679076
Botswana,Seswaa,A traditional meat stew made with beef and flavored with a variety of vegetables,"Ingredients: 1kg beef, 2 onions, 2 cloves garlic, 1 bay leaf, salt, water
 Instructions: Boil beef with onions, garlic, bay leaf, and salt until very tender
 Shred the meat, mash with a pestle
 Serve with pap (maize porridge) or rice
",-22.328474,24.684866
Brazil,Feijoada,"A black bean stew with pork, often served with rice, collard greens, and orange slices","Ingredients: 500g black beans, 1kg assorted pork cuts (ribs, sausages, bacon), 2 onions, 4 cloves garlic, 2 bay leaves, salt, pepper, 1 orange
 Instructions: Soak beans overnight
 Cook beans with pork, onions, garlic, bay leaves, salt, and pepper until tender
 Add orange slices, simmer for 10 mins
 Serve with rice and orange slices
",-14.235004,-51.92528
Brunei,Ambuyat,"A chicken and rice dish cooked with coconut milk and spices, often served during festivals","Ingredients: 500g sago starch, 1 liter water, salt, 200g fish, 1 onion, 2 cloves garlic, 1 chili, 1 tbsp tamarind paste, 1 tbsp shrimp paste
 Instructions: Mix sago starch with water, cook until thick and sticky
 Boil fish with onion, garlic, chili, tamarind paste, and shrimp paste until tender
 Serve sago with fish sauce
",4.535277,114.727669
Bulgaria,Banitsa,"A traditional pastry made of layered filo dough filled with a mixture of eggs, yogurt, and feta cheese","Ingredients: 500g filo pastry, 400g feta cheese, 4 eggs, 1 cup yogurt, 1 tsp baking soda, 1/2 cup melted butter
 Instructions: Mix crumbled feta, eggs, yogurt, and baking soda
 Layer filo pastry in a baking dish, brushing with melted butter
 Add cheese mixture, repeat layers
 Bake at 180°C for 30-40 mins until golden brown
",42.733883,25.48583
Burkina Faso,Riz Gras,"A savory peanut butter and tomato stew with meat, typically served with rice or millet","Ingredients: 2 cups rice, 500g chicken or beef, 2 onions, 2 tomatoes, 2 carrots, 2 cloves garlic, 1 tsp tomato paste, 1 tsp thyme, salt, pepper, oil
 Instructions: Sauté onions and garlic in oil
 Add meat and brown
 Add tomatoes, tomato paste, carrots, thyme, salt, and pepper
 Add rice and water, simmer until rice is cooked
 Serve hot
",12.238333,-1.561593
Burundi,Boko Boko Harees,"A thick porridge made from cassava or cornmeal, often served with a vegetable or meat sauce","Ingredients: 1 cup wheat grains, 1kg chicken, 2 onions, 4 cloves garlic, 1 tbsp cumin, 1 tsp cardamom, salt, pepper, water
 Instructions: Boil wheat grains until tender
 Cook chicken with onions, garlic, cumin, cardamom, salt, and pepper until tender
 Shred chicken, mix with wheat grains
 Simmer until thick
 Serve hot
",-3.373056,29.918886
Côte d'Ivoire,Attiéké,"A dish made from fermented cassava, often served with fried fish and a spicy sauce","Ingredients: 500g cassava couscous (attiéké), 500g fish, 2 onions, 2 tomatoes, 2 cloves garlic, 1 chili, 1 lime, salt, pepper, oil
 Instructions: Steam attiéké and set aside
 Marinate fish with lime juice, salt, and pepper
 Fry fish until golden
 Sauté onions, garlic, tomatoes, and chili in oil
 Serve fish with attiéké and sauce
",7.539989,-5.54708
Cabo Verde,Cachupa,"A rich stew of beans, corn, sweet potatoes, and often sausage or pork","Ingredients: 2 cups hominy corn, 1 cup kidney beans, 500g pork, 500g sausage, 2 onions, 2 cloves garlic, 2 tomatoes, 1 bay leaf, 1 tsp paprika, salt, pepper, oil
 Instructions: Soak corn and beans overnight
 Cook pork with onions, garlic, tomatoes, bay leaf, and paprika until tender
 Add soaked corn and beans, simmer until soft
 Add sausage, cook for another 30 mins
 Serve hot
",16.002082,-23.616671
Cambodia,Amok Trey,"A traditional dish featuring fish cooked in coconut milk with spices, steamed in banana leaves","Ingredients: 500g fish fillets, 1 cup coconut milk, 1 tbsp fish sauce, 1 tbsp palm sugar, 2 eggs, 4 kaffir lime leaves, 1 tsp turmeric, 1 tsp lemongrass, 1 tsp galangal, banana leaves, salt
 Instructions: Blend turmeric, lemongrass, and galangal into a paste
 Mix coconut milk, fish sauce, palm sugar, eggs, and spice paste
 Place fish in banana leaves, pour mixture over fish, fold leaves into packets
 Steam for 20 minutes
 Serve hot
",12.565679,104.990963
Cameroon,Ndolé,"A spicy stew made with bitterleaf or spinach, meat, ground peanuts, and spices","Ingredients: 500g bitterleaf or spinach, 1kg beef or fish, 2 onions, 2 cloves garlic, 1 cup ground peanuts, 1 cup shrimp, 1 tbsp crayfish, salt, pepper, oil
 Instructions: Boil bitterleaf, rinse to reduce bitterness
 Cook meat or fish with onions and garlic until tender
 Add ground peanuts, shrimp, and crayfish, simmer
 Add bitterleaf, cook until sauce thickens
 Season with salt and pepper
 Serve hot
",7.369722,12.354722
Canada,Poutine,A dish of fries topped with cheese curds and smothered in hot gravy,"Ingredients: 4 large potatoes, 1 cup cheese curds, 2 cups beef gravy, oil for frying
 Instructions: Cut potatoes into fries, fry in hot oil until golden and crispy
 Place fries on a plate, sprinkle with cheese curds
 Pour hot beef gravy over fries and cheese
 Serve immediately
",56.130366,-106.346771
Central African Republic,Muamba de Galinha,"A flavorful chicken stew cooked with palm butter, onions, garlic, and tomatoes","Ingredients: 1 whole chicken, 1 onion, 2 tomatoes, 4 cloves garlic, 1 tbsp tomato paste, 1 tsp paprika, 1 tsp chili powder, 200g palm oil, 200g okra, salt, pepper
 Instructions: Cut chicken into pieces, season with salt, pepper, paprika
 Sauté onions and garlic in palm oil, add chicken and brown
 Add tomatoes, tomato paste, chili powder, and water, simmer until chicken is tender
 Add okra, cook until soft
 Serve with rice or funge
",6.611111,20.939444
Chad,Boule,"A staple food made from millet flour, cooked into a thick porridge","Ingredients: 2 cups millet flour, 1 liter water, salt
 Instructions: Boil water with a pinch of salt
 Gradually add millet flour, stirring constantly
 Cook until mixture thickens and pulls away from the sides of the pot
 Shape into balls and serve with sauce
",15.454166,18.732207
Chile,Pastel de Choclo,"A savory pie with a filling of beef, onions, olives, and hard-boiled eggs, topped with a sweet corn mixture","Ingredients: 500g ground beef, 2 onions, 4 cloves garlic, 1 tsp cumin, 1 tsp paprika, 4 cups corn kernels, 1 cup milk, 2 eggs, 1/4 cup olives, salt, pepper, oil
 Instructions: Sauté onions and garlic in oil, add ground beef and brown
 Add cumin, paprika, salt, and pepper, cook until meat is done
 Blend corn kernels with milk, cook until thick
 Layer meat, olives, and hard-boiled eggs in a baking dish
 Cover with corn mixture, bake at 180°C for 30 mins until golden
",-35.675147,-71.542969
China,Peking Duck,"A famous roasted duck dish with crispy skin, often served with pancakes, hoisin sauce, and green onions","Ingredients: 1 whole duck, 1/4 cup soy sauce, 1/4 cup honey, 1/4 cup hoisin sauce, 2 tbsp rice vinegar, 2 tsp five-spice powder, 1 tsp salt, 1 tsp sugar, green onions, pancakes
 Instructions: Prick duck skin, pour boiling water over to tighten skin
 Mix soy sauce, honey, hoisin sauce, rice vinegar, five-spice powder, salt, and sugar
 Brush mixture over duck, let marinate for several hours
 Roast duck at 180°C for 1.5-2 hours until crispy
 Serve with green onions and pancakes
",35.86166,104.195397
Colombia,Bandeja Paisa,"A large platter including rice, beans, fried plantain, chorizo, pork belly, and eggs","Ingredients: 1 cup white rice, 1 cup red beans, 1 plantain, 1 avocado, 4 chorizo sausages, 4 eggs, 1 cup pork belly, salt, pepper, oil
 Instructions: Cook rice and set aside
 Boil beans until tender
 Fry plantain and pork belly until crispy
 Grill chorizo and fry eggs
 Assemble rice, beans, plantain, chorizo, pork belly, and eggs on a platter
 Serve with avocado slices
",4.570868,-74.297333
Comoros,Langouste a la Vanille,A luxurious dish of lobster cooked in a creamy coconut milk sauce flavored with vanilla,"Ingredients: 2 lobsters, 1 vanilla bean, 1 cup coconut milk, 2 tbsp butter, 1 lemon, salt, pepper
 Instructions: Split vanilla bean, scrape seeds into coconut milk, heat gently
 Boil lobsters until done, remove meat
 Sauté lobster meat in butter, add coconut milk and vanilla
 Season with salt, pepper, and lemon juice
 Serve hot
",-11.6455,43.333333
Congo (Congo-Brazzaville),Saka-Saka,A traditional dish of cooked cassava leaves with ground peanuts and palm oil,"Ingredients: 500g cassava leaves, 1 onion, 2 cloves garlic, 1 cup palm oil, 1 cup ground peanuts, salt, pepper
 Instructions: Boil cassava leaves until tender, drain
 Sauté onions and garlic in palm oil
 Add cassava leaves and ground peanuts, simmer
 Season with salt and pepper
 Serve hot
",-0.228021,15.827659
Costa Rica,Gallo Pinto,"A traditional breakfast dish of rice and beans, cooked with onions, garlic, and bell pepper","Ingredients: 2 cups cooked white rice, 1 cup cooked black beans, 1 onion, 1 red bell pepper, 2 cloves garlic, 1 tbsp Lizano sauce, salt, pepper, oil
 Instructions: Sauté onions, garlic, and bell pepper in oil
 Add rice and beans, cook until heated through
 Stir in Lizano sauce, season with salt and pepper
 Serve hot
",9.748917,-83.753428
Croatia,Peka,"A slow-cooked dish of meat and vegetables, often baked under an iron bell","Ingredients: 1kg lamb or veal, 4 potatoes, 2 carrots, 2 onions, 4 cloves garlic, 2 tomatoes, 1 cup white wine, rosemary, salt, pepper, olive oil
 Instructions: Cut meat and vegetables into chunks
 Place in a baking dish, drizzle with olive oil, add rosemary, salt, and pepper
 Cover and bake at 180°C for 2 hours, occasionally basting with white wine
 Serve hot
",45.1,15.2
Cuba,Ropa Vieja,"A shredded beef stew cooked with tomatoes, onions, and peppers, often served with rice","Ingredients: 500g flank steak, 2 onions, 1 green bell pepper, 2 cloves garlic, 2 tomatoes, 1 cup tomato sauce, 1 cup beef broth, 1 tsp cumin, 1 tsp oregano, salt, pepper, olive oil
 Instructions: Cook flank steak in beef broth until tender, shred meat
 Sauté onions, bell pepper, and garlic in olive oil
 Add tomatoes, tomato sauce, shredded meat, cumin, oregano, salt, and pepper
 Simmer until sauce thickens
 Serve hot with rice
",21.521757,-77.781167
Cyprus,Souvla,"Large chunks of meat marinated with herbs, skewered, and grilled over an open flame"," Ingredients: 1kg pork or lamb, 4 cloves garlic, 2 lemons, 1 tbsp oregano, 1/4 cup olive oil, salt, pepper
 Instructions: Cut meat into large chunks
 Marinate with minced garlic, lemon juice, oregano, olive oil, salt, and pepper for several hours
 Skewer meat and grill over charcoal until cooked through
 Serve hot
",35.126413,33.429859
Czechia (Czech Republic),Svíčková,A braised beef dish served with a creamy vegetable sauce and dumplings,"Ingredients: 1kg beef sirloin, 2 onions, 2 carrots, 2 parsnips, 1 celery root, 1 cup cream, 2 tbsp flour, 4 cloves, 4 allspice berries, 2 bay leaves, 1 tbsp vinegar, 1 tbsp sugar, salt, pepper, butter
 Instructions: Brown beef in butter, set aside
 Sauté onions, carrots, parsnips, and celery root in butter
 Add beef, cloves, allspice, bay leaves, vinegar, and sugar
 Cover with water, simmer until beef is tender
 Remove beef, blend vegetables into a sauce, stir in cream and flour
 Season with salt and pepper
 Serve sauce over sliced beef
",49.817492,15.472962
Democratic Republic of the Congo,Moambe Chicken,"A flavorful chicken stew cooked with palm butter, onions, garlic, and tomatoes","Ingredients: 1 whole chicken, 1 cup palm butter, 1 onion, 2 tomatoes, 2 cloves garlic, salt, pepper
 Instructions: Cut chicken into pieces, brown in oil
 Add chopped onions, garlic, and tomatoes, cook until soft
 Add palm butter, season with salt and pepper, simmer until chicken is tender
 Serve with rice or fufu
",-4.038333,23.822263
Denmark,Frikadeller,"Pan-fried meatballs made of ground pork, often served with potatoes and gravy","Ingredients: 500g ground pork, 1 onion, 1 egg, 1/2 cup breadcrumbs, 1/2 cup milk, salt, pepper, butter for frying
 Instructions: Mix all ingredients thoroughly
 Shape into small balls
 Fry in butter until golden brown and cooked through
 Serve with boiled potatoes and gravy
",56.26392,9.501785
Djibouti,Skudahkharis,"A fragrant rice dish with lamb, onions, garlic, tomatoes, and spices","Ingredients: 500g lamb, 2 onions, 2 tomatoes, 2 cloves garlic, 1 tsp cumin, 1 tsp cardamom, 1 cup rice, salt, pepper, oil
 Instructions: Brown lamb in oil
 Add chopped onions, garlic, and tomatoes, cook until soft
 Add spices, rice, and water, simmer until rice is cooked and lamb is tender
 Serve hot
",11.825138,42.590275
Dominica,Callaloo Soup,"A hearty, spicy soup made with leafy greens, okra, and often seafood or meat","Ingredients: 500g callaloo leaves or spinach, 1 onion, 1 tomato, 2 cloves garlic, 1 scotch bonnet pepper, 1 cup coconut milk, salt, pepper
 Instructions: Sauté chopped onions, garlic, and tomato in oil
 Add callaloo leaves, cook until wilted
 Add coconut milk, scotch bonnet pepper, salt, and pepper, simmer until flavors meld
 Serve hot
",15.414999,-61.370976
Dominican Republic,La Bandera,"A traditional meal consisting of rice, red beans, and meat, typically served with salad","Ingredients: 500g beef, 2 cups white rice, 1 cup red beans, 1 onion, 2 cloves garlic, 1 bell pepper, 1 tomato, salt, pepper, oil
 Instructions: Cook beef with onions, garlic, bell pepper, and tomato until tender
 Cook rice and beans separately
 Serve beef with rice and beans on the side
",18.735693,-70.162651
Ecuador,Encebollado,"A hearty fish stew with yuca, onions, tomatoes, and spices, often served with lemon","Ingredients: 500g tuna, 2 onions, 2 tomatoes, 2 cloves garlic, 1 tsp cumin, 1 tsp oregano, 2 cups yuca, 1 lemon, salt, pepper
 Instructions: Boil tuna, flake and set aside
 Sauté onions, garlic, and tomatoes in oil
 Add cumin, oregano, yuca, and water, simmer until yuca is tender
 Add flaked tuna, season with salt, pepper, and lemon juice
 Serve hot
",-1.831239,-78.183406
Egypt,Koshari,"A popular street food of rice, lentils, macaroni, and spicy tomato sauce, topped with fried onions","Ingredients: 1 cup rice, 1 cup lentils, 1 cup macaroni, 2 onions, 2 cloves garlic, 1 cup tomato sauce, 1 tsp cumin, 1 tsp coriander, salt, pepper, oil
 Instructions: Cook rice, lentils, and macaroni separately
 Sauté onions and garlic in oil, add tomato sauce and spices, simmer
 Layer rice, lentils, and macaroni on a plate, top with sauce
 Serve hot
",26.820553,30.802498
El Salvador,Pupusa,"Thick corn tortillas stuffed with cheese, beans, and sometimes meat, grilled until crispy","Ingredients: 2 cups masa harina, 1 cup water, 1 cup cheese, 1 cup refried beans, salt
 Instructions: Mix masa harina with water and salt to form dough
 Flatten dough, fill with cheese and beans, fold and seal
 Cook on a hot griddle until golden brown
 Serve hot
",13.794185,-88.89653
Equatorial Guinea,Succotash,"A traditional stew of corn, beans, and vegetables, often flavored with palm oil","Ingredients: 1 cup corn kernels, 1 cup lima beans, 1 onion, 1 bell pepper, 2 cloves garlic, 2 tomatoes, salt, pepper, butter
 Instructions: Sauté chopped onions, garlic, and bell pepper in butter
 Add corn, lima beans, and tomatoes, cook until tender
 Season with salt and pepper
 Serve hot
",1.650801,10.267895
Eritrea,Zigni,"A spicy beef stew made with berbere spice, often served with injera (a type of flatbread)","Ingredients: 500g beef, 2 onions, 2 tomatoes, 2 cloves garlic, 1 tsp berbere spice, 1 cup beef broth, salt, pepper, oil
 Instructions: Sauté chopped onions and garlic in oil
 Add beef and brown
 Add tomatoes, berbere spice, and beef broth, simmer until beef is tender
 Season with salt and pepper
 Serve with injera
",15.179384,39.782334
Estonia,Verivorst,"Blood sausages made with pork, barley, and spices, traditionally served during winter holidays","Ingredients: 500g pork, 200g barley, 1 onion, 2 cloves garlic, 1 tsp allspice, 1 tsp marjoram, 1 tsp black pepper, salt, sausage casings
 Instructions: Cook barley until tender
 Mix with minced pork, chopped onions, garlic, and spices
 Stuff mixture into sausage casings
 Bake or boil until cooked through
 Serve hot
",58.595272,25.013607
Eswatini (fmr. 'Swaziland'),Sishwala,A traditional beef stew served over a thick maize porridge,"Ingredients: 500g beef, 2 onions, 2 tomatoes, 2 cloves garlic, 1 cup maize meal, salt, pepper, oil
 Instructions: Sauté chopped onions and garlic in oil
 Add beef and brown
 Add tomatoes and water, simmer until beef is tender
 Cook maize meal with water to make porridge
 Serve beef stew over maize porridge
",-26.522503,31.465866
Ethiopia,Doro Wat,"A spicy chicken stew made with berbere spice and hard-boiled eggs, served with injera","Ingredients: 1 whole chicken, 2 onions, 4 cloves garlic, 1 tbsp ginger, 1 tsp berbere spice, 1 cup chicken broth, 4 hard-boiled eggs, salt, pepper, oil
 Instructions: Sauté chopped onions, garlic, and ginger in oil
 Add chicken and brown
 Add berbere spice and chicken broth, simmer until chicken is tender
 Add hard-boiled eggs, season with salt and pepper
 Serve with injera
",9.145,39.782334
Fiji,Kokoda,"A raw fish salad marinated in lemon juice and mixed with coconut milk, onions, and tomatoes","Ingredients: 500g fish fillets, 1 cup coconut milk, 1 lemon, 1 onion, 1 tomato, salt, pepper
 Instructions: Dice fish fillets, marinate in lemon juice and salt for 30 mins
 Drain, mix with chopped onions and tomatoes
 Add coconut milk, season with salt and pepper
 Serve chilled
",-17.713371,179.414413
Finland,Karjalanpaisti,"A hearty stew of beef and pork, cooked with onions, potatoes, and carrots until tender","Ingredients: 500g beef, 500g pork, 2 onions, 4 potatoes, 2 carrots, 1 tsp allspice, salt, pepper, water
 Instructions: Cut meat into chunks, place in a pot with chopped onions, potatoes, and carrots
 Add allspice, salt, and pepper, cover with water
 Simmer until meat is tender
 Serve hot
",61.92411,25.748151
